Financial Institution Name,IDRSSD,FDIC Certificate Number,total_assets,total_deposits,uninsured_deposits,uninsured_dep_to_total_dep
BEAL BANK USA,3284397,57833,14512815.0,3550782.0,3739482.0,1.0531432230984612
DEUTSCHE BANK TRUST COMPANY AMERICAS,214807,623,43031000.0,30856000.0,28932000.0,0.9376458387347679
"NORTHERN TRUST COMPANY, THE",210434,913,176396321.0,52630760.0,38655477.0,0.7344654912830444
"HSBC BANK USA, NATIONAL ASSOCIATION",413208,57890,165262283.0,129196051.0,88322392.0,0.6836307403854008
SERVISFIRST BANK,3348888,57993,17725922.0,14245239.0,9685929.0,0.6799414878191935
CIBC BANK USA,1842065,33306,63978350.0,50773784.0,33721433.0,0.6641504797042506
"UMB BANK, NATIONAL ASSOCIATION",936855,8273,72780016.0,61057431.0,39694407.0,0.6501159048109967
CITY NATIONAL BANK,63069,17281,98429760.0,78538052.0,47921587.0,0.6101703031799159
STELLAR BANK,3579589,58629,10792468.0,9073259.0,5321042.0,0.5864532248004823
"OCEANFIRST BANK, NATIONAL ASSOCIATION",85472,28359,14471649.0,11041860.0,6461426.0,0.5851755048515377
