report_date,total_banks,regional_banks
2014-03-31,6794,99
2014-06-30,6722,101
2014-09-30,6651,100
2014-12-31,6570,98
2015-03-31,6480,103
2015-06-30,6408,102
2015-09-30,6328,102
2015-12-31,6238,99
2016-03-31,6176,100
2016-06-30,6112,102
2016-09-30,6034,104
2016-12-31,5966,105
2017-03-31,5908,109
2017-06-30,5839,112
2017-09-30,5789,116
2017-12-31,5721,114
2018-03-31,5657,123
2018-06-30,5593,125
2018-09-30,5527,129
2018-12-31,5456,128
2019-03-31,5411,132
2019-06-30,5352,132
2019-09-30,5308,134
2019-12-31,5227,130
2020-03-31,5165,131
2020-06-30,5114,135
2020-09-30,5082,138
2020-12-31,5050,138
2021-03-31,5027,145
2021-06-30,4998,147
2021-09-30,4962,149
2021-12-31,4887,147
2022-03-31,4844,147
2022-06-30,4821,146
2022-09-30,4796,145
2022-12-31,4756,145
2023-03-31,4724,146
2023-06-30,4697,142
2023-09-30,4669,142
2023-12-31,4641,144
2024-03-31,4623,143
2024-06-30,4594,141
2024-09-30,4572,144
2024-12-31,4543,144
2025-03-31,4519,143
2025-06-30,4477,141
2025-09-30,4435,142
2025-12-31,4392,136
